ticket_id,title,description,account,location,status,priority,source,estimated_hours,primary_resource,role,queue,issue_type,sub_issue_type,work_type,contract_name,sla,created_at,created_by,completed_at,due_at,first_response_at,resolution,completed_by,is_legacy,priority_numeric,estimated_hours_clean,is_completed,resolution_hours,resolution_days,first_response_minutes,hours_until_due,hours_past_due,title_word_count,description_word_count,ticket_text,created_year,created_month,created_day,created_hour,created_day_of_week,created_week_of_year,created_is_weekend,created_is_business_hours,created_part_of_day,is_priority_low,is_priority_medium,is_priority_high,is_priority_critical,priority_weight,is_active_ticket,is_waiting_state,is_unassigned,is_overdue_open,ticket_text_char_count,ticket_text_has_server,ticket_text_has_backup,ticket_text_has_vpn,ticket_text_has_email,ticket_text_has_printer,ticket_text_has_access_issue,ticket_text_has_urgent_language,issue_type_group,queue_group,role_group,sla_priority_class,sla_coverage_type,sla_initial_response_hours,sla_status_update_hours,sla_weight,is_sla_high_urgency,is_service_request,is_maintenance,first_response_sla_met,ticket_age_hours,sla_age_ratio,sla_breach_risk,sla_breach_severity,resolution_hours_log,met_estimate_flag,estimate_error_hours
T20120604.0001,Alert: ABLE Manufacturing HQ Server Connectivity Failed,Customer: ABLE Manufacturing HQ Device: Server- 192.168.10.10 Service: Connectivity State Transition: From Indeterminate To Failed Time Of State Transition: 14:11:27.207469-05 Probe(s): Appliance #1: 192.168.10.5 Scandetails: Packet Loss (%): 100 Time To Live (hops): 0 Average Round Trip Time (ms): 0 Notification: 1 Notification Activated: 14:11:48.030423-05 Notification Sent: 14:12:05.615903-05,ABLE Manufacturing HQ,,New,Critical,,0.0,"Taylor, Mark",IT:Technician II,IT:Level II,IT:Hardware,Server,IT:Emergency (Non-Billable),,,2012-06-18 07:54:00,"Administrator, Autotask",,2012-06-19 07:54:00,2012-06-18 07:54:00,,,True,4,,False,,,0.0,24.0,,7,48,Alert: ABLE Manufacturing HQ Server Connectivity Failed Customer: ABLE Manufacturing HQ Device: Server- 192.168.10.10 Service: Connectivity State Transition: From Indeterminate To Failed Time Of State Transition: 14:11:27.207469-05 Probe(s): Appliance #1: 192.168.10.5 Scandetails: Packet Loss (%): 100 Time To Live (hops): 0 Average Round Trip Time (ms): 0 Notification: 1 Notification Activated: 14:11:48.030423-05 Notification Sent: 14:12:05.615903-05,2012,6,18,7,0,25,False,False,Morning,False,False,False,True,4,True,False,False,True,454,True,False,False,False,False,False,False,IT,IT,IT,High,Expanded,0.25,4.0,4,True,False,False,True,120818.41,483273.63,True,Critical,,False,
T20120604.0009,Request for Help,Request for Help,ABLE Manufacturing HQ,,New,Medium,Email,2.0,,,Triage,Triage,,0:Triage,Able Manufacturing - Recurring Service,,2012-06-17 20:00:00,"Administrator, Autotask",,2012-06-25 11:00:00,2012-06-18 20:00:00,,,True,2,2.0,False,,,1440.0,183.0,,3,3,Request for Help Request for Help,2012,6,17,20,6,24,True,False,Evening,False,True,False,False,2,True,False,True,True,33,False,False,False,False,False,False,False,Triage,Triage,,Service Request,Expanded,24.0,24.0,1,False,True,False,True,120830.31,5034.6,True,Critical,,False,
T20260226.0001,Request for Tony,Request for Tony,ABLE Manufacturing HQ,Primary Location,New,Medium,Email,2.0,,,Triage,Triage,,0:Triage,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-26 20:00:00,"Administrator, Autotask",,2026-03-06 11:00:00,2026-02-26 20:00:00,,,False,2,2.0,False,,,0.0,183.0,,3,3,Request for Tony Request for Tony,2026,2,26,20,3,9,False,False,Evening,False,True,False,False,2,True,False,True,True,33,False,False,False,False,False,False,False,Triage,Triage,,Service Request,Expanded,24.0,24.0,1,False,True,False,True,782.31,32.6,True,Critical,,False,
T20260226.0002,Request for Tony2,Request for Tony2,ABLE Manufacturing HQ,Primary Location,New,Medium,Email,2.0,"Taylor, Mark",IT:Technician II,IT:Level I,Triage,,0:Triage,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-26 20:00:00,"Administrator, Autotask",,2026-03-06 11:00:00,2026-02-26 20:00:00,,,False,2,2.0,False,,,0.0,183.0,,3,3,Request for Tony2 Request for Tony2,2026,2,26,20,3,9,False,False,Evening,False,True,False,False,2,True,False,False,True,35,False,False,False,False,False,False,False,Triage,IT,IT,Service Request,Expanded,24.0,24.0,1,False,True,False,True,782.31,32.6,True,Critical,,False,
T20251221.0001,Slow computer performance,User's workstation takes over 5 minutes to boot and applications are sluggish. Machine is 4 years old with HDD.,ABLE Manufacturing HQ,Primary Location,New,Low,Email,2.0,"Anderson, Scott",IT:Service Manager,IT:Level I,SW:Defect,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-21 01:00:00,"Administrator, Autotask",,2025-12-29 11:00:00,2025-12-21 01:00:00,,,False,1,2.0,False,,,0.0,202.0,,3,19,Slow computer performance User's workstation takes over 5 minutes to boot and applications are sluggish. Machine is 4 years old with HDD.,2025,12,21,1,6,51,True,False,Overnight,True,False,False,False,1,True,False,False,True,137,False,False,False,False,False,False,False,SW,IT,IT,Low,Expanded,4.0,48.0,1,False,False,False,True,2409.31,602.33,True,Critical,,False,
T20260226.0003,Request for Tony2,Request for Tony2,ABLE Manufacturing HQ,Primary Location,New,Medium,Email,2.0,"Taylor, Mark",IT:Technician II,IT:Level I,Triage,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-26 20:00:00,"Administrator, Autotask",,2026-03-06 11:00:00,2026-02-26 20:00:00,,,False,2,2.0,False,,,0.0,183.0,,3,3,Request for Tony2 Request for Tony2,2026,2,26,20,3,9,False,False,Evening,False,True,False,False,2,True,False,False,True,35,False,False,False,False,False,False,False,Triage,IT,IT,Service Request,Expanded,24.0,24.0,1,False,True,False,True,782.31,32.6,True,Critical,,False,
T20260106.0001,MFA not working on mobile device,User replaced their phone and can no longer receive MFA push notifications. Needs MFA token re-enrolled.,ABLE Manufacturing HQ,Primary Location,New,High,Email,2.0,"Moore, James",IT:Technician II,IT:Level I,IT:Hardware,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-06 17:00:00,"Administrator, Autotask",,2026-01-14 11:00:00,2026-01-06 17:00:00,,,False,3,2.0,False,,,0.0,186.0,,6,16,MFA not working on mobile device User replaced their phone and can no longer receive MFA push notifications. Needs MFA token re-enrolled.,2026,1,6,17,1,2,False,False,Afternoon,False,False,True,False,3,True,False,False,True,137,False,False,False,False,False,False,False,IT,IT,IT,High,Expanded,0.25,4.0,4,True,False,False,True,2009.31,8037.23,True,Critical,,False,
T20251219.0001,Password reset request,Employee locked out of their account after multiple failed login attempts. Requesting password reset and account unlock.,ABLE Manufacturing HQ,Primary Location,New,High,Email,2.0,"Taylor, Mark",IT:Technician II,IT:Level I,SW:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-19 16:00:00,"Administrator, Autotask",,2025-12-29 10:00:00,2025-12-19 16:00:00,,,False,3,2.0,False,,,0.0,234.0,,3,17,Password reset request Employee locked out of their account after multiple failed login attempts. Requesting password reset and account unlock.,2025,12,19,16,4,51,False,True,Afternoon,False,False,True,False,3,True,False,False,True,143,False,False,False,False,False,False,False,SW,IT,IT,Service Request,Standard,24.0,24.0,1,False,True,False,True,2442.31,101.76,True,Critical,,False,
T20260208.0002,File recovery request,User accidentally deleted a folder from the shared drive and needs it restored from backup.,ABLE Manufacturing HQ,Primary Location,New,Critical,Email,2.0,"Anderson, Scott",IT:Service Manager,Triage,Triage,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-08 19:00:00,"Administrator, Autotask",,2026-02-16 11:00:00,2026-02-08 19:00:00,,,False,4,2.0,False,,,0.0,184.0,,3,15,File recovery request User accidentally deleted a folder from the shared drive and needs it restored from backup.,2026,2,8,19,6,6,True,False,Evening,False,False,False,True,4,True,False,False,True,113,False,True,False,False,False,False,False,Triage,Triage,IT,Service Request,Expanded,24.0,24.0,1,False,True,False,True,1215.31,50.64,True,Critical,,False,
T20251229.0001,Software license expired for Adobe Acrobat,Adobe Acrobat Pro license has expired for the Marketing department. Three users unable to edit PDFs.,ABLE Manufacturing HQ,Primary Location,New,Medium,Email,2.0,"Taylor, Mark",IT:Technician II,IT:Change Requests,IT:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-29 11:00:00,"Administrator, Autotask",,2026-01-05 14:00:00,2025-12-29 11:00:00,,,False,2,2.0,False,,,0.0,171.0,,6,16,Software license expired for Adobe Acrobat Adobe Acrobat Pro license has expired for the Marketing department. Three users unable to edit PDFs.,2025,12,29,11,0,1,False,True,Morning,False,True,False,False,2,True,False,False,True,143,False,False,False,False,False,False,False,IT,IT,IT,Service Request,Standard,24.0,24.0,1,False,True,False,True,2207.31,91.97,True,Critical,,False,
