ticket_id,ticket_title,priority,sla_priority_class,issue_type,top_similarity_score,avg_similarity_score_top5,estimated_resolution_hours_nlp,median_resolution_hours_top5,suggested_technician_from_similarity,suggested_issue_type_from_similarity,top_match_ticket_id,top_match_title
T20120604.0001,Alert: ABLE Manufacturing HQ Server Connectivity Failed,Critical,High,IT:Hardware,0.2261,0.2261,139.7,166.5,"Anderson, Scott",IT:Applications,T20260113.0006,Server room temperature alert
T20120604.0009,Request for Help,Medium,Service Request,Triage,0.1462,0.1462,144.1,124.5,"Anderson, Scott",IT:Applications,T20260127.0013,File recovery request
T20260226.0001,Request for Tony,Medium,Service Request,Triage,0.1462,0.1462,144.1,124.5,"Anderson, Scott",IT:Applications,T20260127.0013,File recovery request
T20260226.0002,Request for Tony2,Medium,Service Request,Triage,0.1462,0.1462,144.1,124.5,"Anderson, Scott",IT:Applications,T20260127.0013,File recovery request
T20251221.0001,Slow computer performance,Low,Low,SW:Defect,1.0,1.0,172.7,173.0,"Miller, Susan",SW:Change,T20251221.0005,Slow computer performance
T20260226.0003,Request for Tony2,Medium,Service Request,Triage,0.1462,0.1462,144.1,124.5,"Anderson, Scott",IT:Applications,T20260127.0013,File recovery request
T20260106.0001,MFA not working on mobile device,High,High,IT:Hardware,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20251219.0001,Password reset request,High,Service Request,SW:Change,1.0,1.0,89.5,89.0,"Miller, Susan",IT:Applications,T20251210.0013,Password reset request
T20260208.0002,File recovery request,Critical,Service Request,Triage,1.0,1.0,114.6,124.5,"Miller, Susan",IT:Applications,T20260221.0011,File recovery request
T20251229.0001,Software license expired for Adobe Acrobat,Medium,Service Request,IT:Change,1.0,1.0,115.3,127.0,"Moore, James",IT:Applications,T20260204.0006,Software license expired for Adobe Acrobat
T20260217.0002,MFA not working on mobile device,High,Service Request,SW:Change,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20251204.0001,Shared drive access denied,Low,Service Request,IT:Change,1.0,1.0,116.6,144.0,"Anderson, Scott",SW:Internal,T20251207.0010,Shared drive access denied
T20260213.0002,VPN connection drops intermittently,Low,Low,SW:Defect,1.0,1.0,130.57,147.0,"Anderson, Scott",SW:Support,T20260223.0002,VPN connection drops intermittently
T20251210.0001,Desk phone not receiving calls,Critical,Service Request,IT:Change,1.0,1.0,122.1,113.0,"Moore, James",Triage,T20251231.0005,Desk phone not receiving calls
T20260116.0002,Network printer offline,Low,Low,IT:Hardware,1.0,1.0,132.0,122.5,"Anderson, Scott",IT:Applications,T20260115.0006,Network printer offline
